timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2021-04-30,8.51000000,14.80000000,8.51000000,10.09000000,1185136.80000000,1619827199999,14243188.29100000,39450,540122.10000000,6473873.12100000,0
2021-05-01,10.08000000,13.50000000,9.46000000,12.31000000,1424720.50000000,1619913599999,17198361.38100000,49469,683243.20000000,8237810.05200000,0
2021-05-02,12.31000000,22.00000000,11.64000000,20.69000000,2168589.20000000,1619999999999,36783028.73700000,102103,1052616.80000000,17950665.96500000,0
2021-05-03,20.72000000,29.00000000,18.23000000,18.70000000,2823347.00000000,1620086399999,67098450.01600000,186489,1330765.80000000,31750149.65500000,0
2021-05-04,18.69000000,21.99000000,16.41000000,17.68000000,1125527.20000000,1620172799999,21159417.47900000,67821,550800.60000000,10378397.18000000,0
2021-05-05,17.71000000,19.59000000,15.53000000,16.07000000,696846.60000000,1620259199999,11886740.38600000,48396,316470.30000000,5425248.81100000,0
2021-05-06,16.09000000,16.94000000,13.51000000,13.87000000,595149.60000000,1620345599999,9007591.10100000,36435,295417.00000000,4457207.52200000,0
2021-05-07,13.87000000,19.77000000,12.55000000,14.95000000,1330323.70000000,1620431999999,21596725.62900000,82944,647206.90000000,10529170.08900000,0
2021-05-08,15.01000000,21.06000000,14.72000000,18.02000000,1731100.50000000,1620518399999,31869138.25100000,122904,871444.80000000,16060549.92200000,0
2021-05-09,17.98000000,19.27000000,16.24000000,16.85000000,429189.70000000,1620604799999,7550463.78500000,37767,197383.50000000,3479374.06800000,0
2021-05-10,16.79000000,17.96000000,13.26000000,14.63000000,419336.10000000,1620691199999,6783775.31900000,33327,196727.30000000,3199570.36900000,0
2021-05-11,14.72000000,15.64000000,13.72000000,15.49000000,251532.90000000,1620777599999,3701204.95800000,20326,120815.90000000,1782472.41400000,0
2021-05-12,15.49000000,16.33000000,10.56000000,11.91000000,228440.50000000,1620863999999,3288932.83500000,17652,97566.40000000,1416425.35200000,0
2021-05-13,11.87000000,14.57000000,10.86000000,12.66000000,438348.90000000,1620950399999,5586039.96500000,21706,204870.10000000,2612277.99400000,0
2021-05-14,12.72000000,14.00000000,12.26000000,13.36000000,279119.30000000,1621036799999,3645589.04500000,17395,127543.60000000,1668757.10600000,0
2021-05-15,13.34000000,13.57000000,10.76000000,10.90000000,303684.00000000,1621123199999,3664307.66000000,15794,118124.40000000,1423688.71300000,0
2021-05-16,10.91000000,13.80000000,10.74000000,12.05000000,434370.10000000,1621209599999,5289322.34800000,23182,210937.10000000,2573024.09300000,0
2021-05-17,12.05000000,12.07000000,10.51000000,10.84000000,250613.20000000,1621295999999,2811442.41300000,13513,112677.80000000,1264880.02600000,0
2021-05-18,10.84000000,12.68000000,10.75000000,11.48000000,254962.80000000,1621382399999,3009899.13600000,17108,119698.60000000,1416283.73200000,0
2021-05-19,11.53000000,11.61000000,11.39000000,11.49000000,2260.40000000,1621468799999,26018.47300000,169,922.90000000,10651.63900000,0
