timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2020-07-06,6.52500000,7.09400000,6.52500000,7.05800000,12769.43600000,1594079999999,87581.25084900,668,3979.99000000,27325.84468800,0
2020-07-07,7.05800000,8.90000000,6.80000000,6.84000000,25134.47000000,1594166399999,176732.61910800,2179,11814.61400000,84188.49979400,0
2020-07-08,6.84000000,6.98000000,6.50000000,6.93100000,28936.53400000,1594252799999,198361.01721400,1416,11470.54200000,78713.95017400,0
2020-07-09,6.93100000,7.73400000,6.82300000,7.46200000,52143.04000000,1594339199999,382235.04490300,2809,22414.44400000,164580.06200300,0
2020-07-10,7.46200000,7.89000000,7.16500000,7.35500000,48342.74000000,1594425599999,363262.22779100,2442,19166.91000000,143689.23161400,0
2020-07-11,7.35000000,8.80000000,7.21100000,7.24200000,48653.52400000,1594511999999,363553.99297200,2662,24717.37500000,185982.40896600,0
2020-07-12,7.24200000,7.49200000,7.11200000,7.21400000,15711.61700000,1594598399999,114521.87586500,1584,7955.84200000,58120.95876600,0
2020-07-13,7.23000000,7.88600000,7.09300000,7.50500000,43383.42500000,1594684799999,326543.30501500,3262,18657.40800000,140425.18783500,0
2020-07-14,7.48100000,7.56400000,6.91000000,7.18900000,20774.87000000,1594771199999,149345.04602200,1638,7675.99300000,55119.65943500,0
2020-07-15,7.18900000,7.73400000,7.14000000,7.46200000,36815.82000000,1594857599999,271295.66404000,2133,24056.75300000,176944.98923300,0
2020-07-16,7.47700000,7.72800000,7.00000000,7.53700000,27170.05500000,1594943999999,200682.63324200,1872,12121.65400000,90676.37920700,0
2020-07-17,7.53700000,7.60000000,7.34100000,7.47500000,9708.79700000,1595030399999,72311.91614400,1157,4121.02300000,30749.20910800,0
2020-07-18,7.44700000,7.56700000,7.23800000,7.49200000,10597.93100000,1595116799999,78197.43466500,1003,4818.71200000,35700.21528100,0
2020-07-19,7.48000000,8.50000000,7.47700000,8.13900000,75328.53800000,1595203199999,599994.42304900,5781,37493.98700000,299169.11009700,0
2020-07-20,8.14000000,8.54800000,7.90000000,8.08700000,42137.94100000,1595289599999,346719.78184600,2820,19044.10300000,156272.31503400,0
2020-07-21,8.06900000,8.45000000,7.93000000,8.07200000,19996.08900000,1595375999999,162279.30097400,1966,11496.10800000,93214.54389400,0
2020-07-22,8.05600000,8.30000000,7.95700000,8.09000000,10721.43400000,1595462399999,87114.68526400,1148,5863.65700000,47791.13157200,0
2020-07-23,8.09000000,9.09000000,8.09000000,8.72700000,38414.47900000,1595548799999,334362.64276400,3222,16506.89000000,142642.44015700,0
2020-07-24,8.72600000,9.66400000,8.63900000,9.45900000,38081.30200000,1595635199999,352561.92838800,3759,15984.16600000,148301.58396500,0
2020-07-25,9.45900000,9.51100000,8.99600000,9.09500000,26856.70800000,1595721599999,250047.93224100,1978,9049.98300000,84286.32670600,0
2020-07-26,9.09500000,9.39900000,8.73300000,9.38700000,35115.05900000,1595807999999,316160.10983300,2424,8284.68400000,74508.13258400,0
2020-07-27,9.33200000,9.48300000,8.20000000,8.72400000,50484.17300000,1595894399999,439658.25010000,2906,18460.83900000,161814.47734400,0
2020-07-28,8.73200000,8.80400000,8.06000000,8.37400000,35064.02700000,1595980799999,294050.74594800,1819,14794.11400000,123826.60119700,0
2020-07-29,8.37400000,8.52500000,8.06000000,8.12800000,21435.65100000,1596067199999,177860.45295100,1281,7212.87200000,59963.10648800,0
2020-07-30,8.08800000,8.36400000,8.06000000,8.19400000,14657.59900000,1596153599999,119767.08331200,889,6286.19500000,51510.44631500,0
2020-07-31,8.19800000,8.33600000,7.89100000,8.09900000,17347.69500000,1596239999999,140688.99960400,941,5413.76100000,43956.01515500,0
2020-08-01,8.10700000,9.40000000,8.00300000,8.90300000,55745.20100000,1596326399999,487196.02245100,3702,26821.49800000,235571.73922700,0
2020-08-02,8.87200000,9.35400000,8.04700000,8.51100000,45501.74300000,1596412799999,392517.21239400,2325,17844.93800000,155342.59313300,0
2020-08-03,8.51100000,9.07800000,8.30000000,8.91400000,23788.25300000,1596499199999,207113.71358100,1409,11823.31300000,103208.16073200,0
2020-08-04,8.92900000,9.20000000,8.67800000,9.01600000,18833.93200000,1596585599999,169065.28357200,1276,6877.82100000,61941.73281500,0
2020-08-05,8.98600000,9.34000000,8.87900000,9.28900000,19692.99700000,1596671999999,178978.45208700,1306,10543.05400000,95877.44222500,0
2020-08-06,9.28900000,9.75000000,9.10800000,9.55200000,28133.37200000,1596758399999,266280.07865000,2006,14441.68500000,136744.64614800,0
2020-08-07,9.48700000,10.16000000,9.41500000,9.87300000,45760.62900000,1596844799999,445416.12887900,2821,21686.04800000,211091.22496300,0
2020-08-08,9.87300000,11.48900000,9.86500000,10.90000000,70549.56000000,1596931199999,751954.10808900,4557,32692.73800000,347845.27973800,0
2020-08-09,10.92400000,11.30400000,10.20000000,10.49800000,44296.26400000,1597017599999,472463.79176300,2395,18562.36800000,198395.28410800,0
2020-08-10,10.49800000,10.90000000,10.00100000,10.35100000,60981.72400000,1597103999999,627030.41996700,3302,26657.04300000,273642.14705200,0
2020-08-11,10.35100000,11.23000000,9.85000000,10.55000000,64537.61600000,1597190399999,678525.79180900,3735,35743.73900000,377173.77819100,0
2020-08-12,10.55000000,11.26900000,10.09000000,10.49100000,52019.85800000,1597276799999,551720.48684500,2788,21438.23200000,228657.54588300,0
2020-08-13,10.53500000,10.57900000,9.78400000,10.28100000,33283.12900000,1597363199999,339002.25688000,2176,16484.20000000,168575.87008100,0
2020-08-14,10.24100000,10.65300000,10.10000000,10.46200000,24863.35800000,1597449599999,257956.02952300,1689,11954.18200000,124145.87487600,0
2020-08-15,10.46200000,10.56000000,9.89000000,10.06600000,28622.75500000,1597535999999,292914.65162900,1744,12357.24500000,126900.52549700,0
2020-08-16,10.04100000,10.10000000,9.52800000,10.01000000,51269.51700000,1597622399999,503650.96936600,2313,22340.00500000,218325.09605800,0
2020-08-17,10.01000000,10.39400000,9.80400000,10.03600000,36604.10300000,1597708799999,370002.02824800,3456,17063.70200000,172975.75192700,0
2020-08-18,10.04300000,10.19300000,8.67300000,9.51800000,36061.33500000,1597795199999,348344.13982000,2828,16108.82400000,155220.41740400,0
2020-08-19,9.46900000,9.65300000,8.72800000,9.02900000,28963.65300000,1597881599999,265470.65957100,1764,9677.42200000,88689.30728100,0
2020-08-20,9.06600000,9.58800000,8.97600000,9.56300000,18929.80000000,1597967999999,177175.24713200,1082,8592.43900000,80505.60597700,0
2020-08-21,9.58800000,10.81900000,9.50000000,9.56000000,119493.42200000,1598054399999,1214573.04772200,7018,56435.66700000,575455.37951000,0
2020-08-22,9.57000000,10.22900000,9.10000000,9.76800000,43435.04800000,1598140799999,422125.26274500,4707,21342.83200000,208489.28036700,0
2020-08-23,9.76900000,9.80800000,9.21000000,9.34800000,19255.27500000,1598227199999,183282.49273600,1201,7427.04200000,70715.81241700,0
2020-08-24,9.30700000,9.51100000,9.19700000,9.44200000,20346.39000000,1598313599999,190627.57654400,1350,9063.61500000,84950.87070300,0
2020-08-25,9.44100000,9.52100000,8.36900000,8.75500000,33257.98400000,1598399999999,296292.23087700,2034,12629.07500000,112240.37324300,0
2020-08-26,8.73500000,10.50000000,8.62600000,8.80100000,22240.40900000,1598486399999,202072.18582600,1357,13809.69600000,127635.57754500,0
2020-08-27,8.79900000,8.84100000,8.22400000,8.34800000,27923.99100000,1598572799999,238898.10279700,1448,11568.17700000,98823.02242900,0
2020-08-28,8.34900000,8.70000000,8.14000000,8.36700000,54994.71900000,1598659199999,463378.08283700,2643,19415.08200000,163767.66648600,0
2020-08-29,8.36700000,8.59500000,8.28600000,8.50600000,23780.81400000,1598745599999,200666.94436000,1296,10620.84800000,89807.86547500,0
2020-08-30,8.50600000,8.84800000,8.40000000,8.72100000,25882.22200000,1598831999999,223868.13317800,1596,13292.86200000,114976.86484000,0
2020-08-31,8.72300000,8.80200000,8.10000000,8.48100000,28487.11900000,1598918399999,243626.71465600,1614,12716.89100000,109009.01210700,0
2020-09-01,8.49700000,9.02200000,8.30900000,8.82400000,46036.93100000,1599004799999,396132.21039400,2236,19402.39500000,167150.06626800,0
2020-09-02,8.82900000,8.90500000,7.95000000,8.48500000,53042.39200000,1599091199999,449542.89185300,2767,19205.66200000,163525.20206800,0
2020-09-03,8.42500000,8.51600000,6.40000000,6.51900000,54011.56600000,1599177599999,395894.00083900,3129,20638.87300000,151518.07164400,0
2020-09-04,6.50000000,7.31100000,6.44500000,7.00200000,43797.10100000,1599263999999,302752.79211000,2321,19084.16400000,132147.55141800,0
2020-09-05,7.02000000,7.19800000,5.55800000,6.00100000,68589.33800000,1599350399999,435613.50792700,2601,33327.66800000,211998.54935800,0
2020-09-06,6.00200000,6.50000000,5.63200000,6.40300000,31594.64800000,1599436799999,193480.85047500,1607,16247.01000000,99249.83950200,0
2020-09-07,6.38900000,6.42100000,5.85500000,6.27000000,20668.35800000,1599523199999,126478.85533400,1133,8722.86600000,53573.39454100,0
2020-09-08,6.34900000,6.36100000,5.70000000,5.88700000,36020.46500000,1599609599999,216325.56470200,1495,13594.61500000,82150.40644600,0
2020-09-09,5.86200000,6.27600000,5.75200000,6.06500000,17357.90400000,1599695999999,104573.90007500,976,9121.49100000,54859.18454000,0
2020-09-10,6.04900000,6.54400000,6.04900000,6.29500000,26551.46100000,1599782399999,168267.19408000,1331,12523.02300000,79295.62668300,0
2020-09-11,6.30600000,6.62200000,6.00900000,6.50400000,22321.24500000,1599868799999,142643.14411200,1074,10261.49300000,65477.34680500,0
2020-09-12,6.54500000,6.69000000,6.39000000,6.64100000,21221.81200000,1599955199999,139221.64635600,1042,7861.03400000,51633.39780300,0
2020-09-13,6.63300000,6.63400000,6.00000000,6.28500000,26742.90600000,1600041599999,168324.46531300,1409,9298.95000000,58646.92239900,0
2020-09-14,6.28400000,6.51700000,6.05500000,6.29600000,18102.60800000,1600127999999,114557.90314300,1019,7950.19800000,50453.50925500,0
2020-09-15,6.32200000,6.46800000,6.06000000,6.11700000,19384.53000000,1600214399999,120993.78055600,863,7758.65000000,48640.34548600,0
2020-09-16,6.11700000,6.29600000,5.97500000,6.16000000,17610.75600000,1600300799999,108118.63463900,992,6493.20500000,40046.26159800,0
2020-09-17,6.12500000,6.29500000,6.02600000,6.12700000,7193.46100000,1600387199999,44276.35476500,445,3589.97800000,22147.78670100,0
2020-09-18,6.08700000,6.27800000,6.00000000,6.05500000,20656.74600000,1600473599999,126118.75812900,840,6592.59200000,40494.95706700,0
2020-09-19,6.02900000,6.11300000,5.84800000,5.92900000,30170.82500000,1600559999999,179680.70583800,826,20462.07500000,121721.78520500,0
2020-09-20,5.90000000,6.04900000,5.71600000,5.82700000,18683.08200000,1600646399999,109156.11785300,890,5916.10000000,34720.01351200,0
2020-09-21,5.82700000,5.96200000,5.36400000,5.41500000,31921.63600000,1600732799999,177274.20688000,1413,9020.98100000,50275.43208900,0
2020-09-22,5.40700000,5.70000000,5.22300000,5.59800000,21449.98700000,1600819199999,116192.26265400,899,9895.08400000,53756.23513400,0
2020-09-23,5.59700000,5.94700000,5.33400000,5.41200000,21858.00500000,1600905599999,122893.94055700,888,11198.35800000,63320.23042700,0
2020-09-24,5.35700000,6.23000000,5.34700000,5.91300000,19533.71900000,1600991999999,111882.25197000,1061,10521.02400000,60088.00022400,0
2020-09-25,5.91300000,6.12400000,5.72100000,5.96100000,17072.84700000,1601078399999,100770.64238600,921,7241.76900000,42497.45366100,0
2020-09-26,6.00800000,6.01900000,5.80400000,5.93700000,12779.64600000,1601164799999,75767.70382400,537,6397.76400000,38000.12515800,0
2020-09-27,5.91900000,5.99400000,5.49800000,5.71800000,17466.89500000,1601251199999,99543.41163400,878,7516.88400000,43074.20999800,0
2020-09-28,5.73400000,5.94000000,5.57700000,5.60000000,13966.66400000,1601337599999,80592.07691200,627,6006.67500000,34787.60479800,0
2020-09-29,5.60800000,5.66500000,5.50000000,5.61600000,9817.97000000,1601423999999,54701.81327500,686,3597.50100000,20091.98438000,0
2020-09-30,5.60200000,5.79100000,5.57200000,5.71100000,13335.34300000,1601510399999,75683.41372700,633,5989.62900000,34060.90035000,0
2020-10-01,5.68400000,5.95800000,5.30500000,5.46700000,34144.39000000,1601596799999,194817.56270400,1656,14619.07800000,83489.66894700,0
2020-10-02,5.44300000,5.47400000,5.10000000,5.25900000,27771.29600000,1601683199999,145466.45654000,1119,10326.44600000,54091.94292100,0
2020-10-03,5.27800000,5.38200000,5.21600000,5.31500000,7736.20800000,1601769599999,40983.40316900,562,4081.71700000,21644.56869100,0
2020-10-04,5.30100000,5.38400000,5.23800000,5.34000000,6105.54500000,1601855999999,32397.82671300,365,3455.95100000,18378.14498500,0
2020-10-05,5.36000000,5.54700000,5.33800000,5.40400000,18641.52300000,1601942399999,100992.68582000,852,8966.84500000,48667.49560300,0
2020-10-06,5.39800000,5.43700000,5.13200000,5.20500000,17230.12000000,1602028799999,91294.61473700,913,5478.55100000,29063.99085900,0
