timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2021-04-16,0.00870900,0.00968800,0.00832600,0.00859500,163055442.00000000,1618617599999,1412979.02398900,3540,65179225.00000000,567000.96108000,0
2021-04-17,0.00859400,0.01021100,0.00855000,0.00903900,432002455.00000000,1618703999999,3984233.88562900,10794,191574756.00000000,1767305.92920700,0
2021-04-18,0.00903900,0.00930200,0.00451500,0.00802300,258551884.00000000,1618790399999,2134643.13197200,5987,95662993.00000000,795178.48182400,0
2021-04-19,0.00805400,0.00877000,0.00737000,0.00740000,243692377.00000000,1618876799999,1932907.62781600,5331,105828757.00000000,841561.49062500,0
2021-04-20,0.00740800,0.00763400,0.00580000,0.00735300,349603431.00000000,1618963199999,2463721.46205700,5569,136371351.00000000,960276.09192800,0
2021-04-21,0.00735700,0.00765000,0.00652000,0.00661600,201483403.00000000,1619049599999,1424542.19007000,4417,83436894.00000000,594130.16019100,0
2021-04-22,0.00661900,0.00679000,0.00490200,0.00539000,316097869.00000000,1619135999999,1872910.20626200,4274,132040610.00000000,776577.00039500,0
2021-04-23,0.00539000,0.00850000,0.00338000,0.00675600,1133014911.00000000,1619222399999,6150207.11889500,9847,480039794.00000000,2663307.45994800,0
2021-04-24,0.00681000,0.00750000,0.00586000,0.00612500,1186682879.00000000,1619308799999,8058905.28265900,10353,494041311.00000000,3366101.90053100,0
2021-04-25,0.00615300,0.00672800,0.00536100,0.00588100,475221202.00000000,1619395199999,2882119.88454600,5547,203566767.00000000,1233734.72153100,0
2021-04-26,0.00588800,0.00715000,0.00586400,0.00690100,779044928.00000000,1619481599999,5178318.51750600,8037,364996276.00000000,2430217.18676100,0
2021-04-27,0.00689300,0.00844000,0.00669200,0.00783800,700329524.00000000,1619567999999,5388205.39612200,7991,337325615.00000000,2595273.71192700,0
2021-04-28,0.00783100,0.00795500,0.00663800,0.00720800,493123341.00000000,1619654399999,3612906.05223800,6052,207930779.00000000,1527343.98021600,0
2021-04-29,0.00720800,0.00763500,0.00684400,0.00711300,324254101.00000000,1619740799999,2331724.27415400,4471,133930625.00000000,968184.60336200,0
2021-04-30,0.00711700,0.00756300,0.00695000,0.00748100,331604288.00000000,1619827199999,2402726.41546300,4448,184651704.00000000,1339687.35285800,0
2021-05-01,0.00749300,0.00768000,0.00714400,0.00733000,238581865.00000000,1619913599999,1761729.97042900,4760,102570391.00000000,758849.74451000,0
2021-05-02,0.00734000,0.00761300,0.00690000,0.00723600,401574403.00000000,1619999999999,2910538.23833300,5332,191932657.00000000,1396748.09578800,0
2021-05-03,0.00724000,0.00756600,0.00693000,0.00714400,321216325.00000000,1620086399999,2335270.96796900,5438,162195449.00000000,1183901.49946300,0
2021-05-04,0.00714400,0.00716500,0.00618000,0.00637400,509752024.00000000,1620172799999,3405280.89584100,8472,200521802.00000000,1340693.07522700,0
2021-05-05,0.00638600,0.00720500,0.00604000,0.00673900,434318770.00000000,1620259199999,2931124.00538000,7527,161059027.00000000,1092323.05948000,0
2021-05-06,0.00675600,0.00730000,0.00651000,0.00705700,398062956.00000000,1620345599999,2769423.82889000,7063,188424806.00000000,1317846.84371400,0
2021-05-07,0.00706800,0.00800000,0.00667100,0.00697600,959074091.00000000,1620431999999,7022696.88267500,13325,392110219.00000000,2884978.69873400,0
2021-05-08,0.00696800,0.00715600,0.00665000,0.00680000,305985111.00000000,1620518399999,2115965.38958000,6005,100770708.00000000,700257.34768300,0
2021-05-09,0.00680000,0.00688300,0.00636300,0.00660400,300258166.00000000,1620604799999,1982941.51661700,5315,121625025.00000000,803023.94115800,0
2021-05-10,0.00659900,0.00690000,0.00534800,0.00572500,373368382.00000000,1620691199999,2298598.23429900,7252,124901597.00000000,765554.02956000,0
2021-05-11,0.00572500,0.00605500,0.00545800,0.00585600,241598280.00000000,1620777599999,1388982.27922200,4722,82332442.00000000,474490.16476300,0
2021-05-12,0.00585500,0.00600000,0.00469100,0.00476400,274809920.00000000,1620863999999,1487030.43402000,5244,81839570.00000000,447310.51578500,0
2021-05-13,0.00478800,0.00530100,0.00436500,0.00482300,359300735.00000000,1620950399999,1716603.06847400,5647,143697080.00000000,689853.55291700,0
2021-05-14,0.00481600,0.00521200,0.00470400,0.00494200,258204756.00000000,1621036799999,1273125.11952200,4320,107106261.00000000,530043.44487400,0
2021-05-15,0.00491700,0.00497000,0.00446600,0.00448300,193180752.00000000,1621123199999,905605.27967000,3248,64423424.00000000,302611.75736000,0
2021-05-16,0.00450800,0.00573000,0.00447400,0.00496000,527664004.00000000,1621209599999,2699449.02324500,5996,219459294.00000000,1124784.20856500,0
2021-05-17,0.00496800,0.00498200,0.00438600,0.00459900,234886896.00000000,1621295999999,1095944.49598500,3021,79227706.00000000,370416.22115700,0
2021-05-18,0.00459500,0.00477900,0.00440000,0.00446000,151659026.00000000,1621382399999,689448.07566400,2361,60049935.00000000,274006.74345800,0
2021-05-19,0.00446000,0.00450000,0.00442100,0.00445300,5665957.00000000,1621468799999,25354.44068800,100,2832179.00000000,12706.88169700,0
